98,54
100,53
101,52
103,50
104,49
106,48
107,47
108,45
110,44
111,43
113,41
114,40
116,39
117,38
119,36
120,35
122,34
123,32
125,31
126,30
128,29
129,27
130,26
132,25
133,23
135,22
136,21
138,19
139,18
141,17
142,16
144,14
101,54
103,53
104,51
106,50
107,49
109,47
110,46
112,45
113,44
115,42
116,41
117,40
119,38
120,37
122,36
123,35
125,33
126,32
128,31
129,29
131,28
132,27
134,25
135,24
137,23
138,22
140,20
141,19
142,18
106,52
107,51
109,50
110,48
112,47
113,46
115,44
116,43
118,42
119,41
121,39
122,38
124,37
125,35
127,34
128,33
129,32
131,30
132,29
134,28
135,26
137,25
138,24
140,22
141,21
143,20
111,50
112,49
114,48
115,47
116,45
118,44
119,43
121,41
122,40
124,39
125,38
127,36
128,35
130,34
131,32
133,31
134,30
136,28
137,27
138,26
140,25
141,23
114,50
115,49
117,47
118,46
120,45
121,44
123,42
124,41
125,40
127,38
128,37
130,36
131,35
133,33
134,32
136,31
137,29
139,28
140,27
118,48
120,47
121,46
123,44
124,43
126,42
127,41
129,39
130,38
132,37
133,35
135,34
136,33
137,31
139,30
123,47
124,45
126,44
127,43
129,41
130,40
132,39
133,38
135,36
136,35
138,34
126,46
128,45
129,44
131,42
132,41
134,40
135,38
136,37
138,36
131,44
132,43
134,42
135,41
137,39
134,44
135,43
