52,153
53,153
55,153
57,153
58,153
60,153
61,153
63,153
64,153
66,153
67,153
69,153
71,153
72,153
74,153
75,153
77,153
78,153
80,153
81,153
83,153
85,153
86,153
88,153
89,153
91,153
92,153
94,153
96,153
97,153
53,151
54,151
56,151
57,151
59,151
60,151
62,151
64,151
65,151
67,151
68,151
70,151
71,151
73,151
74,151
76,151
78,151
79,151
81,151
82,151
84,151
85,151
87,151
88,151
90,151
92,151
93,151
95,151
96,151
98,151
53,150
55,150
56,150
58,150
60,150
61,150
63,150
64,150
66,150
67,150
69,150
71,150
72,150
74,150
75,150
77,150
78,150
80,150
81,150
83,150
85,150
86,150
88,150
89,150
91,150
92,150
94,150
95,150
97,150
54,148
56,148
57,148
59,148
60,148
62,148
63,148
65,148
67,148
68,148
70,148
71,148
73,148
74,148
76,148
77,148
79,148
81,148
82,148
84,148
85,148
87,148
88,148
90,148
92,148
93,148
95,148
96,148
55,146
56,146
58,146
60,146
61,146
63,146
64,146
66,146
56,144
57,144
59,144
60,144
62,144
63,144
65,144
56,142
58,142
59,142
61,142
63,142
64,142
66,142
57,140
59,140
60,140
62,140
63,140
65,140
58,138
59,138
61,138
63,138
64,138
66,138
59,136
60,136
62,136
63,136
65,136
59,135
61,135
62,135
64,135
66,135
60,133
62,133
63,133
65,133
61,131
62,131
64,131
66,131
62,129
63,129
65,129
62,127
64,127
65,127
63,125
65,125
66,125
64,123
65,123
67,123
68,123
70,123
72,123
73,123
75,123
76,123
78,123
79,123
81,123
83,123
84,123
86,123
87,123
89,123
90,123
92,123
65,121
66,121
68,121
69,121
71,121
72,121
74,121
75,121
77,121
79,121
80,121
82,121
83,121
85,121
86,121
88,121
89,121
91,121
93,121
65,120
67,120
68,120
70,120
72,120
73,120
75,120
76,120
78,120
79,120
81,120
82,120
84,120
86,120
87,120
89,120
90,120
92,120
66,118
68,118
69,118
71,118
72,118
74,118
75,118
77,118
79,118
80,118
82,118
83,118
85,118
86,118
88,118
89,118
91,118
67,116
68,116
70,116
71,116
73,116
75,116
76,116
78,116
79,116
81,116
82,116
84,116
85,116
87,116
89,116
90,116
92,116
68,114
69,114
71,114
72,114
74,114
75,114
77,114
78,114
80,114
82,114
83,114
85,114
86,114
88,114
89,114
91,114
68,112
70,112
71,112
73,112
75,112
76,112
78,112
79,112
81,112
82,112
84,112
85,112
87,112
89,112
90,112
69,110
71,110
72,110
74,110
75,110
77,110
78,110
80,110
81,110
83,110
85,110
86,110
88,110
89,110
91,110
70,108
71,108
73,108
74,108
76,108
78,108
79,108
81,108
82,108
84,108
85,108
87,108
88,108
90,108
71,107
72,107
74,107
75,107
77,107
78,107
80,107
81,107
83,107
85,107
86,107
88,107
89,107
71,105
73,105
74,105
76,105
77,105
79,105
81,105
82,105
84,105
85,105
87,105
88,105
90,105
72,103
74,103
75,103
77,103
78,103
80,103
81,103
83,103
84,103
86,103
88,103
89,103
73,101
74,101
76,101
77,101
79,101
81,101
82,101
84,101
85,101
87,101
88,101
73,99
75,99
77,99
78,99
80,99
81,99
83,99
84,99
86,99
88,99
89,99
74,97
76,97
77,97
79,97
80,97
82,97
84,97
85,97
87,97
88,97
75,95
77,95
78,95
80,95
81,95
83,95
84,95
86,95
87,95
76,93
77,93
79,93
80,93
82,93
84,93
85,93
87,93
88,93
76,92
78,92
80,92
81,92
83,92
84,92
86,92
87,92
77,90
79,90
80,90
82,90
83,90
85,90
87,90
78,88
80,88
81,88
83,88
84,88
86,88
79,86
80,86
82,86
83,86
85,86
87,86
79,84
81,84
83,84
84,84
86,84
80,82
82,82
83,82
85,82
86,82
81,80
83,80
84,80
86,80
82,78
83,78
85,78
82,77
84,77
83,75
85,75
84,73
