35,154
35,152
34,151
33,149
33,148
32,147
31,145
30,144
30,142
29,141
28,140
27,138
27,137
26,135
25,134
25,133
24,131
23,130
22,128
22,127
21,126
20,124
19,123
19,121
18,120
17,118
17,117
16,116
15,114
14,113
14,111
13,110
12,109
11,107
11,106
10,104
9,103
9,102
8,100
7,99
6,97
6,96
36,154
35,152
34,151
34,150
33,148
32,147
32,145
31,144
30,143
29,141
29,140
28,138
27,137
26,135
26,134
25,133
24,131
24,130
23,128
22,127
21,126
21,124
20,123
19,121
18,120
18,119
17,117
16,116
16,114
15,113
14,112
13,110
13,109
12,107
11,106
10,104
10,103
9,102
8,100
8,99
36,154
36,152
35,151
34,150
33,148
33,147
32,145
31,144
31,143
30,141
29,140
28,138
28,137
27,136
26,134
25,133
25,131
24,130
23,129
23,127
22,126
21,124
20,123
20,121
19,120
18,119
17,117
17,116
16,114
15,113
15,112
14,110
13,109
12,107
12,106
11,105
10,103
9,102
37,154
36,153
35,151
35,150
34,148
33,147
32,145
32,144
31,143
30,141
30,140
29,138
28,137
27,136
27,134
26,133
25,131
24,130
24,129
23,127
22,126
22,124
21,123
20,122
19,120
19,119
18,117
17,116
16,115
16,113
15,112
14,110
14,109
13,107
12,106
11,105
37,154
37,153
36,151
35,150
34,148
34,147
33,146
32,144
31,143
31,141
30,140
29,139
29,137
28,136
27,134
26,133
26,131
25,130
24,129
23,127
23,126
22,124
21,123
21,122
20,120
19,119
18,117
18,116
17,115
16,113
15,112
15,110
14,109
13,108
38,154
37,153
36,151
36,150
35,148
34,147
33,146
33,144
32,143
31,141
30,140
30,139
29,137
28,136
28,134
27,133
26,132
25,130
25,129
24,127
23,126
22,125
22,123
21,122
20,120
20,119
19,117
18,116
17,115
17,113
16,112
15,110
38,154
38,153
37,151
36,150
35,149
35,147
34,146
33,144
32,143
32,142
31,140
30,139
29,137
29,136
28,134
27,133
27,132
26,130
25,129
24,127
24,126
23,125
22,123
21,122
21,120
20,119
19,118
19,116
18,115
17,113
16,112
39,154
38,153
37,151
37,150
36,149
35,147
34,146
34,144
33,143
32,142
31,140
31,139
30,137
29,136
29,135
28,133
27,132
26,130
26,129
25,128
24,126
23,125
23,123
22,122
21,120
20,119
20,118
19,116
18,115
39,154
38,153
38,152
37,150
36,149
36,147
35,146
34,145
33,143
33,142
32,140
31,139
30,137
30,136
29,135
28,133
28,132
27,130
26,129
25,128
25,126
24,125
23,123
22,122
22,121
21,119
20,118
39,153
38,152
37,150
37,149
36,147
35,146
35,145
34,143
33,142
32,140
32,139
31,138
30,136
29,135
29,133
28,132
27,131
27,129
26,128
25,126
24,125
24,123
23,122
22,121
39,153
39,152
38,150
37,149
36,148
36,146
35,145
34,143
34,142
33,140
32,139
31,138
31,136
30,135
29,133
28,132
28,131
27,129
26,128
26,126
25,125
24,124
40,153
39,152
38,150
38,149
37,148
36,146
35,145
35,143
34,142
33,141
33,139
32,138
31,136
30,135
30,134
29,132
28,131
27,129
27,128
26,126
40,153
40,152
39,151
38,149
37,148
37,146
36,145
35,143
34,142
34,141
33,139
32,138
32,136
31,135
30,134
29,132
29,131
28,129
27,128
41,153
40,152
39,151
39,149
38,148
37,146
36,145
36,144
35,142
34,141
33,139
33,138
32,137
31,135
31,134
30,132
29,131
41,154
40,152
40,151
39,149
38,148
38,146
37,145
36,144
35,142
35,141
34,139
33,138
32,137
32,135
31,134
42,154
41,152
40,151
40,149
39,148
38,147
37,145
37,144
36,142
35,141
34,139
34,138
33,137
42,154
41,152
41,151
40,149
39,148
39,147
38,145
37,144
36,142
36,141
35,140
43,154
42,152
41,151
40,150
40,148
39,147
38,145
38,144
37,142
43,154
42,152
42,151
41,150
40,148
39,147
39,145
38,144
44,154
43,153
42,151
41,150
41,148
40,147
44,154
43,153
43,151
42,150
44,154
44,153
