467,29
466,29
464,28
462,27
460,27
459,26
457,26
455,25
453,25
451,24
450,24
448,23
446,23
444,22
443,21
441,21
439,20
437,20
435,19
434,19
432,18
430,18
428,17
427,17
425,16
423,15
421,15
419,14
418,14
416,13
414,13
412,12
410,12
409,11
407,11
405,10
403,9
402,9
400,8
398,8
396,7
394,7
393,6
391,6
389,5
387,5
386,4
384,3
382,3
380,2
378,2
377,1
375,1
373,0
483,32
481,31
479,31
478,30
476,30
474,29
472,29
471,28
469,28
467,27
465,26
463,26
462,25
460,25
458,24
456,24
455,23
453,23
451,22
449,22
447,21
446,20
444,20
442,19
440,19
438,18
437,18
435,17
433,17
431,16
430,16
428,15
426,14
424,14
422,13
421,13
419,12
417,12
415,11
414,11
412,10
410,10
408,9
406,8
405,8
403,7
401,7
399,6
398,6
396,5
394,5
392,4
390,4
389,3
387,2
385,2
383,1
381,1
380,0
483,30
481,29
479,29
477,28
475,28
474,27
472,27
470,26
468,25
467,25
465,24
463,24
461,23
459,23
458,22
456,22
454,21
452,21
450,20
449,19
447,19
445,18
443,18
442,17
440,17
438,16
436,16
434,15
433,15
431,14
429,13
427,13
426,12
424,12
422,11
420,11
418,10
417,10
415,9
413,9
411,8
410,7
408,7
406,6
404,6
402,5
401,5
399,4
397,4
395,3
393,3
392,2
390,1
388,1
386,0
482,28
480,27
478,27
477,26
475,26
473,25
471,24
470,24
468,23
466,23
464,22
462,22
461,21
459,21
457,20
455,20
454,19
452,18
450,18
448,17
446,17
445,16
443,16
441,15
439,15
438,14
436,14
434,13
432,12
430,12
429,11
427,11
425,10
423,10
421,9
420,9
418,8
416,8
414,7
413,6
411,6
409,5
407,5
405,4
404,4
402,3
400,3
398,2
397,2
395,1
393,0
482,26
480,25
478,25
476,24
474,23
473,23
471,22
469,22
467,21
466,21
464,20
462,20
460,19
458,19
457,18
455,17
453,17
451,16
449,16
448,15
446,15
444,14
442,14
441,13
439,13
437,12
435,11
433,11
432,10
430,10
428,9
426,9
425,8
423,8
421,7
419,7
417,6
416,5
414,5
412,4
410,4
409,3
407,3
405,2
403,2
401,1
400,1
481,24
479,23
478,22
476,22
474,21
472,21
470,20
469,20
467,19
465,19
463,18
461,18
460,17
458,16
456,16
454,15
453,15
451,14
449,14
447,13
445,13
444,12
442,12
440,11
438,10
437,10
435,9
433,9
431,8
429,8
428,7
426,7
424,6
422,6
421,5
419,4
417,4
415,3
413,3
412,2
410,2
408,1
406,1
481,21
479,21
477,20
475,20
473,19
472,19
470,18
468,18
466,17
465,17
463,16
461,15
459,15
457,14
456,14
454,13
452,13
450,12
449,12
447,11
445,11
443,10
441,9
440,9
438,8
436,8
434,7
432,7
431,6
429,6
427,5
425,5
424,4
422,3
420,3
418,2
416,2
415,1
413,1
411,0
480,19
478,19
477,18
475,18
473,17
471,17
469,16
468,16
466,15
464,14
462,14
460,13
459,13
457,12
455,12
453,11
452,11
450,10
448,10
446,9
444,8
443,8
441,7
439,7
437,6
436,6
434,5
432,5
430,4
428,4
427,3
425,2
423,2
421,1
420,1
418,0
478,17
476,16
474,16
472,15
471,15
469,14
467,13
465,13
464,12
462,12
460,11
458,11
456,10
455,10
453,9
451,9
449,8
448,7
446,7
444,6
442,6
440,5
439,5
437,4
435,4
433,3
432,3
430,2
428,1
426,1
424,0
477,15
476,14
474,14
472,13
470,12
468,12
467,11
465,11
463,10
461,10
460,9
458,9
456,8
454,8
452,7
451,6
449,6
447,5
445,5
443,4
442,4
440,3
438,3
436,2
435,2
433,1
431,0
477,13
475,12
473,11
471,11
470,10
468,10
466,9
464,9
463,8
461,8
459,7
457,7
455,6
454,5
452,5
450,4
448,4
447,3
445,3
443,2
441,2
439,1
438,1
476,10
475,10
473,9
471,9
469,8
467,8
466,7
464,7
462,6
460,6
459,5
457,4
455,4
453,3
451,3
450,2
448,2
446,1
444,1
476,8
474,8
472,7
471,7
469,6
467,6
465,5
463,5
462,4
460,3
458,3
456,2
454,2
453,1
451,1
475,6
474,6
472,5
470,5
468,4
466,4
465,3
463,2
461,2
459,1
458,1
475,4
473,4
471,3
470,3
468,2
466,1
464,1
462,0
474,2
473,2
471,1
469,0
